key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
city010,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
city020,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
city021,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
city0755,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
city027,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1
city028,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1
city025,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1
city023,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1
city029,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1
city0833,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
city0535,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
city0999,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
