报表日期,20121231,20111231,20101231,20091231,20081231,20071231
单位,元,元,元,元,元,元
货币资金,1904169984,2327729920,2632059904,265206000,144126000,138328000
应收和预付,767366336,324159328,139188384,87106856,61184040,43214512
存货,128400000,106306000,41382500,48517900,14476000,21690600
流动资产合计,2799930112,2758200064,2812630016,400831008,219786000,203232992
固定资产净值,215260000,199912000,169132000,34860600,35664300,3275020
非流动资产合计,2460529920,1653600000,359281984,106582000,64475200,34200200
资产总计,5260460032,4411800064,3171909888,507412992,284260992,237432992
短期借款,0,100000000,0,0,0,25000000
应付和预收,443577312,267389984,152276640,140829856,35301740,45497376
一年内到期的非流动负债,0,0,0,0,0,0
流动负债合计,1162780032,981486016,189792000,156192992,49416000,73561296
非流动负债合计,49930900,41036800,27179600,13000000,0,0
负债合计,1212710016,1022520000,216972000,169192992,49416000,73561296
实收资本(或股本),552859008,323400000,147000000,110000000,110000000,110000000
资本公积,2121069952,2263059968,2410959872,172326,172326,172326
盈余公积,92080896,60471300,34900900,22386700,12629400,5096250
未分配利润,1115440000,616929024,342094016,188646000,96710704,45920800
所有者权益(或股东权益)合计,4047749888,3389280000,2954939904,338220000,234844992,163872000
负债和所有者权益(或股东权益)总计,5260460032,4411800064,3171909888,507412992,284260992,237432992
