报告期,20121231,20111231,20101231,20091231,20081231,20071231
单位,元,元,元,元,元,元
销售商品、提供劳务收到的现金,1572620032,1026670016,435343008,382524992,195468000,225124000
经营活动现金流入小计,1638050048,1098400000,502655008,397780000,237731008,226014000
购买商品、接受劳务支付的现金,994704000,529560992,230943008,176764000,98503904,150404992
支付给职工以及为职工支付的现金,73711400,56275600,28861700,16915800,11778300,5493150
支付的各项税费,115251000,104508000,29153900,28412100,7365450,12048000
经营活动现金流出小计,1289100032,738374016,325150016,262747008,132359000,206495008
经营活动产生的现金流量净额,348943008,360027008,177504992,135032000,105372000,19519200
投资活动现金流入小计,228980992,10900,530000,14147100,50000,12000
投资活动现金流出小计,898971008,1296860032,217110000,53072500,41842100,28830200
投资活动产生的现金流量净额,-669990016,-1296850048,-216580000,-38925500,-41792100,-28818200
吸收投资收到的现金,77889800,27180000,2451399936,1500000,15000000,2200000
取得借款收到的现金,0,100000000,20000000,0,20000000,25000000
发行债券收到的现金,550000000,550000000,0,0,0,0
筹资活动现金流入小计,627889984,677180032,2473639936,2371700,36891800,28626100
偿还债务支付的现金,650000000,0,20000000,0,45000000,0
分配股利、利润或偿付利息所支付的现金,79949000,44100000,11144600,5657600,17068200,0
筹资活动现金流出小计,732192000,44688500,35880800,5657600,62068200,0
筹资活动产生的现金流量净额,-104302000,632492032,2437760000,-3285900,-25176500,28626100
现金及现金等价物净增加额,-425350016,-304328992,2398259968,94088400,40886400,19327100
期初现金及现金等价物余额,2322990080,2627320064,229059008,134971008,94084096,74757104
期末现金及现金等价物余额,1897639936,2322990080,2627320064,229059008,134971008,94084096
净利润,595766016,360460992,179444992,107635000,74673200,70628400
