报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231,20051231,20041231,20031231
单位,元,元,元,百万,百万,百万,元,百万,百万,百万
销售商品、提供劳务收到的现金,0,0,0,0,0,0,0,0,0,0
经营活动现金流入小计,2555110000000,2431213000000,2307021000000,2424540,1876942,1534185,1158533000000,838477,690673,848476
支付给职工以及为职工支付的现金,95483000000,84367000000,70115000000,59660,52520,42766,33598000000,31797,19127,20022
支付的各项税费,100103000000,75606000000,60644000000,78908,58404,35214,31641000000,12141,8755,8327
购买商品、接受劳务支付的现金,0,0,0,0,0,0,0,0,0,0
经营活动现金流出小计,2021602000000,2083090000000,2028845000000,2020678,1506029,1238056,762312000000,470983,569909,687592
经营活动产生的现金流量净额,533508000000,348123000000,278176000000,403862,370913,296129,396221000000,367494,120764,160884
投资活动现金流入小计,967414000000,1351870000000,1842414000000,994382,1130881,1220560,2016093000000,332269,276449,223339
投资活动现金流出小计,1094084000000,1408603000000,2002000000000,1579666,1140805,1465352,2359543000000,729680,476516,355463
投资活动产生的现金流量净额,-126670000000,-56733000000,-159586000000,-585284,-9924,-244792,-343450000000,-397411,-200067,-132124
发行债券收到的现金,29640000000,103803000000,50286000000,40000,0,0,0,35000,3294,0
筹资活动现金流入小计,30240000000,103834000000,95364000000,40080,66,0,188676000000,159314,4761,0
筹资活动现金流出小计,79519000000,67829000000,91318000000,56367,45990,17093,26618000000,866,228,91
筹资活动产生的现金流量净额,-49279000000,36005000000,4046000000,-16287,-45924,-17093,162058000000,158448,4533,-91
净利润,238691000000,208445000000,166025000000,129350,111151,81990,48719000000,37405,30763,22374
现金及现金等价物净增加额,353339000000,319337000000,119577000000,-197897,305604,26327,212370000000,126405,-74601,28991
