报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231,20051231
单位,元,元,元,元,元,元,元,元
一、营业总收入,103115997184,71782801408,50713800704,48881000448,40991801344,35526598656,17918300160,10614200320
二、营业总成本,83023200256,56716398592,39581798400,41122398208,34855698432,28059500544,14663499776,8691250176
营业成本,65421598720,43228200960,30073499648,34514698240,25005299712,20607299584,11441300480,6905900032
营业税金及附加,10916299776,7778789888,5624110080,3602579968,4533870080,4115770112,1579539968,779484032
销售费用,3056379904,2556780032,2079090048,1513720064,1860349952,1194540032,625716992,466288992
管理费用,2780310016,2578210048,1846370048,1441990016,1530800000,1763769984,859459008,495368000
财务费用,764756992,509812992,504228000,573680000,657252992,359500000,140152000,19702900
资产减值损失,83818304,64627200,-545451008,-524240000,1268109952,18570200,17398000,24501500
投资收益,928688000,699715008,777931008,924076992,209411008,208031008,170812000,-128408
三、营业利润,21013000192,15763200000,11894899712,8685079552,6364789760,7652899840,3426909952,1922829952
利润总额,21070200832,15805899776,11940800512,8617430016,6322290176,7641610240,3434490112,1940640000
所得税费用,5407600128,4206279936,3101139968,2187419904,1682419968,2324100096,1011500032,524987008
四、净利润,15662600192,11599599616,8839610368,6430009856,4639869952,5317499904,2423000064,1415650048
基本每股收益,1.14,0.88,0.66,0.48,0.37,0.73,0.39,0.26
