报表日期,20121231,20111231,20101231,20091231,20081231,20071231
单位,元,元,元,元,元,元
一、营业总收入,1771549952,1026009984,500471008,313563008,220880000,206566000
二、营业总成本,1189330048,659142016,291815008,189244992,139734000,131173000
营业成本,1012609984,539406016,257204000,162602000,125633000,116761000
营业税金及附加,31191800,29661800,7754240,4903940,3149210,3693060
销售费用,27119900,12853600,6863130,6338200,4937000,4186040
管理费用,135910000,102652000,30891400,16129000,8109790,6874100
财务费用,-39348200,-36542800,-15522300,-687360,-3806360,-1453270
资产减值损失,21845400,11112300,4623990,-40178.2,1711530,1111270
投资收益,109938000,42239800,575260,68247.7,-104211,-77716.3
三、营业利润,692153984,409105984,209231008,124386000,81041504,75315200
利润总额,698174016,413948992,209147008,124382000,87971200,76191104
所得税费用,102409000,53487900,29702000,16747600,13298000,5562700
四、净利润,595766016,360460992,179444992,107635000,74673200,70628400
基本每股收益,1.02,1.07,1.31,0.97,0.68,0.64
