key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
date,12年6月30日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金 ,3045330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产 ,52712100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款 ,3314640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预付款项 ,1096630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货 ,8194470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计 ,29087500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产 ,121577000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资 ,201808000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产 ,398613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产净额 ,13630000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程 ,3753100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产 ,2004860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计 ,20471900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产总计 ,49559400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款 ,14507400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付账款 ,2289310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预收款项 ,1594450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付薪酬 ,29123300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付税费息利,-39303600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计 ,25982600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款 ,871377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券 ,7979270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计 ,9113070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计 ,35095700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股本,4390290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积 ,5661940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积 ,1520150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润 ,2692300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所有者权益合计 ,14463700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股净资产,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业收入 ,4032220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主营收入,4032220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他营业收入,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本 ,4308700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主营业成本,3769630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加 ,6007700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销售费用 ,9920910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理费用 ,217374000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用 ,221692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失 ,84074900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公允价值变动收益 ,26702600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他营业成本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润,-251693000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入 ,272794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外支出 ,63660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利润总额 ,21038000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所得税费用 ,4110460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润,16927600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股收益 ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销售商品、提供劳务收到的现金 ,4230210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动现金流入小计 ,4312870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购买商品、接受劳务支付的现金 ,4381230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与经营活动有关的现金 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动现金流出小计 ,4767720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额 ,-454844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计 ,448426000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计 ,4560500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额 ,-4112070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金 ,5289770000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计 ,7604250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金 ,2725300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分配股利、利润或偿付利息所支付的现金 ,403872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计 ,3865040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额 ,3739210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
