key,open,highest,lowest,close,volumn,weight
1,2011/12/20,56.730,57.200,56.400,56.510,1109000,56.100
2,2011/12/21,56.960,57.400,55.670,55.700,2252100,55.290
3,2011/12/22,55.180,56.950,55.160,56.680,1370600,56.270
4,2011/12/23,56.450,57.480,56.270,56.810,820100,56.400
5,2011/12/26,56.760,57.930,55.520,55.570,1170900,55.160
6,2011/12/27,55.180,55.970,53.400,53.590,1681800,53.200
7,2011/12/28,53.500,54.830,51.200,54.380,2348600,53.980
8,2011/12/29,53.990,54.950,53.000,53.000,1483800,52.610
9,2011/12/30,53.010,54.310,52.300,53.000,2913600,52.610
10,2012/01/02,53.010,54.310,52.300,53.000,2913600,52.610
11,2012/01/03,53.010,54.310,52.300,53.000,2913600,52.610
12,2012/01/04,53.000,53.480,50.380,51.000,2972600,50.630
13,2012/01/05,50.700,50.700,48.880,49.780,4549000,49.420
14,2012/01/06,49.600,51.000,49.200,50.960,1394500,50.590
15,2012/01/09,51.120,51.120,49.350,50.940,3951700,50.570
16,2012/01/10,50.500,52.660,50.050,52.180,3697400,51.800
17,2012/01/11,52.180,52.250,51.010,51.260,1991100,50.890
18,2012/01/12,51.280,52.300,51.280,51.870,1208400,51.490
19,2012/01/13,51.870,52.300,50.500,50.590,1524100,50.220
20,2012/01/16,50.150,50.710,48.190,48.190,1238000,47.840
21,2012/01/17,48.570,50.850,48.030,50.300,1524100,49.930
22,2012/01/18,50.300,50.790,46.100,46.800,5420500,46.460
23,2012/01/19,46.600,47.500,45.580,47.030,4329500,46.690
24,2012/01/20,47.000,49.500,47.000,49.500,2950200,49.140
25,2012/01/23,49.500,49.500,49.500,49.500,0,49.140
26,2012/01/24,49.500,49.500,49.500,49.500,0,49.140
27,2012/01/25,49.500,49.500,49.500,49.500,0,49.140
28,2012/01/26,49.500,49.500,49.500,49.500,0,49.140
29,2012/01/27,49.500,49.500,49.500,49.500,0,49.140
30,2012/01/30,49.200,49.800,48.300,49.010,1358900,48.650
31,2012/01/31,49.000,49.200,47.600,48.880,1108400,48.520
32,2012/02/01,48.800,49.650,48.800,48.980,1724900,48.620
33,2012/02/02,49.200,50.300,49.060,50.040,1359900,49.680
34,2012/02/03,50.100,50.800,49.800,50.350,1537600,49.980
35,2012/02/06,50.400,52.010,50.080,50.920,2851400,50.550
36,2012/02/07,50.520,51.550,50.520,51.390,1707700,51.020
37,2012/02/08,51.390,52.270,50.520,52.200,1549700,51.820
38,2012/02/09,52.210,52.210,51.500,52.000,1162400,51.620
39,2012/02/10,51.830,52.300,51.200,52.300,1084000,51.920
40,2012/02/13,51.580,52.940,51.370,52.400,1298300,52.020
41,2012/02/14,52.300,52.500,51.500,51.970,1001400,51.590
42,2012/02/15,51.650,52.580,51.500,52.000,723300,51.620
43,2012/02/16,51.800,52.420,51.400,51.430,1439600,51.050
44,2012/02/17,51.480,52.250,50.870,51.380,1440600,51.010
45,2012/02/20,51.860,51.970,49.760,50.000,7740600,49.640
46,2012/02/21,49.700,50.260,49.700,50.200,1754600,49.830
47,2012/02/22,50.200,50.410,49.830,50.410,2851400,50.040
48,2012/02/23,50.520,51.220,50.520,51.060,3267700,50.690
49,2012/02/24,51.120,52.270,51.060,52.120,3167700,51.740
50,2012/02/27,52.170,53.450,51.700,52.590,2573400,52.210
51,2012/02/28,52.410,52.780,51.640,52.000,2175800,51.620
52,2012/02/29,51.820,52.660,51.800,52.080,1622800,51.700
53,2012/03/01,52.000,52.090,50.950,51.110,2105400,50.740
54,2012/03/02,51.000,51.480,50.990,51.470,3297800,51.090
55,2012/03/05,51.570,51.670,50.000,50.280,5212100,49.910
56,2012/03/06,50.210,50.700,50.100,50.450,3014200,50.080
57,2012/03/07,50.080,50.810,50.070,50.530,1701500,50.160
58,2012/03/08,50.600,50.800,50.160,50.450,2794200,50.080
59,2012/03/09,50.700,51.120,50.410,51.100,2136300,50.730
60,2012/03/12,51.390,52.280,51.150,52.090,3760300,51.710
61,2012/03/13,52.120,52.200,51.510,51.950,1936600,51.570
62,2012/03/14,52.050,53.210,50.900,51.220,4037000,50.850
63,2012/03/15,51.220,53.000,51.110,52.850,4471300,52.460
64,2012/03/16,52.850,55.060,52.550,54.600,4477100,54.200
65,2012/03/19,54.610,55.000,53.310,53.980,3902400,53.590
66,2012/03/20,53.500,53.700,52.200,52.330,3966600,51.950
67,2012/03/21,52.330,52.400,50.800,51.300,4130900,50.930
68,2012/03/22,51.620,52.050,50.780,51.100,2900100,50.730
69,2012/03/23,51.100,51.230,50.370,51.000,2679700,50.630
70,2012/03/26,50.650,52.000,50.650,51.300,2014200,50.930
71,2012/03/27,51.250,51.400,50.590,50.610,2035200,50.240
72,2012/03/28,50.400,50.480,49.010,49.070,2830800,48.710
73,2012/03/29,48.900,49.370,48.610,48.620,1761300,48.270
74,2012/03/30,48.640,49.450,48.290,49.220,2173500,48.860
75,2012/04/02,49.220,49.220,49.220,49.220,0,48.860
76,2012/04/03,49.220,49.220,49.220,49.220,0,48.860
77,2012/04/04,49.220,49.220,49.220,49.220,0,48.860
78,2012/04/05,49.200,50.260,49.160,49.820,1657500,49.460
79,2012/04/06,49.810,50.130,49.530,49.800,1161300,49.440
80,2012/04/09,49.680,49.680,48.950,49.000,1250400,48.640
81,2012/04/10,48.840,49.380,48.100,48.990,1395900,48.630
82,2012/04/11,48.880,49.500,48.610,48.750,1801600,48.390
83,2012/04/12,48.900,49.600,48.620,49.550,1846600,49.190
84,2012/04/13,49.720,49.800,49.300,49.450,2258600,49.090
85,2012/04/16,49.400,49.680,48.580,48.890,2085400,48.530
86,2012/04/17,48.870,49.350,48.590,49.050,1531500,48.690
87,2012/04/18,49.130,49.290,47.700,48.700,4951600,48.340
88,2012/04/19,48.700,49.040,48.380,48.800,2226900,48.440
89,2012/04/20,48.840,49.200,48.650,49.130,2062000,48.770
90,2012/04/23,49.190,50.200,48.910,49.510,3344500,49.150
91,2012/04/24,49.510,49.510,49.510,49.510,0,49.150
92,2012/04/25,49.510,50.380,49.220,50.190,4498300,49.820
93,2012/04/26,50.200,50.680,50.200,50.610,3502500,50.240
94,2012/04/27,50.610,50.680,49.880,50.440,1734900,50.070
95,2012/04/30,50.440,50.440,50.440,50.440,0,50.070
96,2012/05/01,50.440,50.440,50.440,50.440,0,50.070
97,2012/05/02,50.930,51.260,50.500,50.990,2145600,50.620
98,2012/05/03,51.130,52.320,51.020,52.110,3627800,51.730
99,2012/05/04,52.150,52.490,51.780,52.270,3223000,51.890
100,2012/05/07,52.250,53.240,52.000,52.640,4680500,52.260
101,2012/05/08,52.600,52.860,51.960,52.480,2302800,52.100
102,2012/05/09,52.130,52.130,50.950,50.990,2632500,50.620
103,2012/05/10,50.950,53.400,50.950,53.180,5539500,52.790
104,2012/05/11,53.150,53.730,52.580,53.380,3475500,52.990
105,2012/05/14,53.500,54.180,52.600,53.080,2247900,52.690
106,2012/05/15,52.900,52.900,52.000,52.230,2394700,51.850
107,2012/05/16,52.000,52.250,51.250,51.350,3063700,50.980
108,2012/05/17,51.110,52.100,51.110,51.430,1815000,51.050
109,2012/05/18,51.300,52.090,51.120,51.310,1341600,50.940
110,2012/05/21,51.330,52.090,51.330,52.000,1311600,51.620
111,2012/05/22,52.800,52.970,52.030,52.580,1650400,52.200
112,2012/05/23,52.480,52.500,51.810,51.990,1772300,51.610
113,2012/05/24,52.050,52.450,51.550,51.730,1083400,51.350
114,2012/05/25,51.610,52.010,51.300,51.350,943600,50.980
115,2012/05/28,51.120,51.960,51.050,51.780,1627300,51.400
116,2012/05/29,51.790,51.980,51.380,51.650,2080200,51.270
117,2012/05/30,51.800,51.800,50.600,51.000,3310100,50.630
118,2012/05/31,50.930,51.390,50.700,50.980,2340300,50.610
119,2012/06/01,51.150,52.600,51.100,52.200,2459500,51.820
120,2012/06/04,51.850,53.360,51.600,51.930,5818700,51.550
121,2012/06/05,52.020,54.780,51.800,53.440,5037200,53.050
122,2012/06/06,53.780,54.650,53.500,54.050,3966500,53.660
123,2012/06/07,54.280,54.600,53.270,53.500,2051600,53.110
124,2012/06/08,53.730,55.120,53.660,54.700,4146700,54.300
125,2012/06/11,55.200,55.990,54.600,54.830,3187800,54.430
126,2012/06/12,54.810,56.000,54.520,55.800,2508300,55.390
127,2012/06/13,56.000,57.800,55.680,57.500,3934100,57.080
128,2012/06/14,57.510,57.970,57.210,57.740,2059700,57.320
129,2012/06/15,57.500,58.900,57.200,57.620,2679600,57.340
130,2012/06/18,57.300,58.500,56.700,56.960,2126900,56.690
131,2012/06/19,56.900,58.840,56.800,58.550,3412300,58.270
132,2012/06/20,58.390,58.550,56.680,56.980,2253400,56.710
133,2012/06/21,56.650,56.910,55.560,56.200,1887500,55.930
134,2012/06/22,56.200,56.200,56.200,56.200,0,55.930
135,2012/06/25,55.900,57.350,55.500,56.200,2087200,55.930
136,2012/06/26,55.900,57.260,54.680,56.280,3065500,56.010
137,2012/06/27,56.230,57.800,55.820,56.860,2801700,56.590
138,2012/06/28,57.290,59.770,56.870,58.240,3232600,57.960
139,2012/06/29,58.230,59.830,57.580,59.280,2993800,58.990
140,2012/07/02,59.510,60.140,59.020,59.900,2829800,59.610
141,2012/07/03,60.080,60.690,58.580,58.720,4250700,58.440
142,2012/07/04,59.100,59.170,57.400,57.580,3051100,57.300
143,2012/07/05,57.400,58.300,57.020,57.950,1532500,57.670
144,2012/07/06,57.950,60.290,57.950,60.180,3388800,59.890
145,2012/07/09,59.730,61.690,59.180,61.000,3427500,60.710
146,2012/07/10,60.270,60.850,59.380,59.600,1862700,59.310
147,2012/07/11,59.000,62.770,59.000,62.770,4083900,62.470
148,2012/07/12,62.470,63.470,61.210,61.500,4430300,61.200
149,2012/07/13,61.110,63.300,61.000,62.680,2962000,62.380
150,2012/07/16,63.000,63.690,60.380,60.830,3307300,60.540
151,2012/07/17,60.500,61.250,58.600,59.750,3245200,59.460
152,2012/07/18,59.690,60.340,58.130,59.190,1829200,58.910
153,2012/07/19,59.100,60.180,58.500,59.930,1648700,59.640
154,2012/07/20,59.630,60.740,59.300,59.500,1914100,59.210
155,2012/07/23,59.000,60.530,58.700,60.000,1584600,59.710
156,2012/07/24,59.900,62.600,59.600,62.360,2090600,62.060
157,2012/07/25,62.290,62.900,60.980,61.230,1562200,60.940
158,2012/07/26,61.000,62.100,60.300,60.560,1259900,60.270
159,2012/07/27,60.200,60.500,58.560,58.800,3020100,58.520
160,2012/07/30,58.230,59.510,58.220,59.110,1302200,58.830
161,2012/07/31,59.000,59.790,58.750,59.200,1525900,58.920
162,2012/08/01,58.750,60.290,58.600,59.010,1276900,58.730
163,2012/08/02,59.160,61.260,59.160,61.080,2376800,60.790
164,2012/08/03,61.110,61.900,60.610,61.830,2000400,61.530
165,2012/08/06,61.790,62.170,61.030,61.890,2161400,61.590
