key,open,highest,lowest,close,volumn,weight
1,2011/12/20,12.130,13.010,12.080,12.510,10616000,12.250
2,2011/12/21,12.510,12.680,12.010,12.070,6397000,11.820
3,2011/12/22,11.960,12.300,11.630,12.210,4843100,11.960
4,2011/12/23,12.020,13.180,12.010,12.740,16326200,12.480
5,2011/12/26,12.540,13.080,12.540,12.780,8837600,12.520
6,2011/12/27,12.700,12.770,12.110,12.160,6494800,11.910
7,2011/12/28,12.000,12.530,11.900,12.490,5609900,12.230
8,2011/12/29,12.310,12.630,12.250,12.440,3695400,12.190
9,2011/12/30,12.500,12.800,12.450,12.730,6067300,12.470
10,2012/01/02,12.500,12.800,12.450,12.730,6067300,12.470
11,2012/01/03,12.500,12.800,12.450,12.730,6067300,12.470
12,2012/01/04,12.850,12.890,12.340,12.360,4704400,12.110
13,2012/01/05,12.250,12.400,12.000,12.010,3529600,11.760
14,2012/01/06,12.000,12.300,11.910,12.260,2560800,12.010
15,2012/01/09,12.400,12.950,12.150,12.930,6663000,12.660
16,2012/01/10,12.880,14.170,12.800,14.080,13249600,13.790
17,2012/01/11,14.080,14.150,13.550,13.780,12371200,13.500
18,2012/01/12,13.710,14.080,13.600,13.920,8376400,13.630
19,2012/01/13,13.770,14.010,13.260,13.370,8340200,13.100
20,2012/01/16,13.110,13.550,13.010,13.060,3782400,12.790
21,2012/01/17,13.030,14.170,13.030,14.020,8664200,13.730
22,2012/01/18,14.000,15.420,13.930,14.870,22894500,14.570
23,2012/01/19,14.610,15.130,14.370,14.910,12745400,14.600
24,2012/01/20,14.860,15.400,14.800,15.380,11750600,15.060
25,2012/01/23,15.380,15.380,15.380,15.380,0,15.060
26,2012/01/24,15.380,15.380,15.380,15.380,0,15.060
27,2012/01/25,15.380,15.380,15.380,15.380,0,15.060
28,2012/01/26,15.380,15.380,15.380,15.380,0,15.060
29,2012/01/27,15.380,15.380,15.380,15.380,0,15.060
30,2012/01/30,15.340,15.340,14.680,14.750,7908600,14.450
31,2012/01/31,14.700,14.850,14.130,14.600,7548200,14.300
32,2012/02/01,14.540,14.600,13.830,14.020,9094800,13.730
33,2012/02/02,14.010,14.380,13.710,14.350,10563800,14.060
34,2012/02/03,14.240,14.330,13.890,14.210,11334900,13.920
35,2012/02/06,14.210,14.210,14.210,14.210,0,13.920
36,2012/02/07,14.240,14.240,13.730,13.840,7881400,13.560
37,2012/02/08,13.750,14.450,13.700,14.410,9776500,14.110
38,2012/02/09,14.370,14.980,14.300,14.840,16724900,14.540
39,2012/02/10,14.800,15.400,14.660,14.840,14032800,14.540
40,2012/02/13,14.500,14.760,14.300,14.610,10410400,14.310
41,2012/02/14,14.600,14.790,14.370,14.750,6881900,14.450
42,2012/02/15,14.700,14.970,14.520,14.900,8156300,14.590
43,2012/02/16,14.880,15.100,14.600,14.740,7014600,14.440
44,2012/02/17,14.820,14.900,14.460,14.620,5027000,14.320
45,2012/02/20,14.870,15.140,14.680,14.690,8783200,14.390
46,2012/02/21,14.600,14.970,14.460,14.900,6743000,14.590
47,2012/02/22,14.880,15.300,14.700,15.300,12821700,14.990
48,2012/02/23,15.380,15.590,15.080,15.390,12511000,15.070
49,2012/02/24,15.350,16.780,15.070,16.230,21892600,15.900
50,2012/02/27,16.220,16.810,16.140,16.310,17994200,15.980
51,2012/02/28,16.220,16.600,16.050,16.460,10786600,16.120
52,2012/02/29,16.430,16.430,15.730,15.770,9528000,15.450
53,2012/03/01,15.680,15.970,15.560,15.830,4738900,15.510
54,2012/03/02,15.900,16.400,15.880,16.350,8088800,16.010
55,2012/03/05,16.450,16.960,16.310,16.430,10081100,16.090
56,2012/03/06,16.430,16.430,15.740,15.770,9473200,15.450
57,2012/03/07,15.560,15.690,15.170,15.460,7933100,15.140
58,2012/03/08,15.480,15.750,15.480,15.640,6310200,15.320
59,2012/03/09,15.700,15.950,15.500,15.880,5601100,15.550
60,2012/03/12,15.920,15.950,15.600,15.780,5770500,15.460
61,2012/03/13,15.770,16.280,15.720,16.260,7692700,15.930
62,2012/03/14,16.300,16.440,15.200,15.250,12536300,14.940
63,2012/03/15,15.080,15.180,14.050,14.540,10099400,14.240
64,2012/03/16,14.430,14.750,14.250,14.740,6896600,14.440
65,2012/03/19,14.740,15.020,14.380,14.980,6073300,14.670
66,2012/03/20,14.870,15.000,14.610,14.690,4004200,14.390
67,2012/03/21,14.840,14.900,14.500,14.770,5073000,14.470
68,2012/03/22,14.770,14.850,14.620,14.660,4306800,14.360
69,2012/03/23,14.630,14.630,13.970,14.070,5419400,13.780
70,2012/03/26,14.060,14.230,13.960,14.050,2430000,13.760
71,2012/03/27,14.150,14.360,13.940,14.100,3419100,13.810
72,2012/03/28,14.050,14.050,13.570,13.720,4375300,13.440
73,2012/03/29,13.500,13.700,13.060,13.190,3692400,12.920
74,2012/03/30,13.190,13.350,12.950,13.090,2781400,12.820
75,2012/04/02,13.090,13.090,13.090,13.090,0,12.820
76,2012/04/03,13.090,13.090,13.090,13.090,0,12.820
77,2012/04/04,13.090,13.090,13.090,13.090,0,12.820
78,2012/04/05,13.120,13.900,13.100,13.820,7016100,13.540
79,2012/04/06,13.830,14.260,13.620,14.090,7610500,13.800
80,2012/04/09,14.100,14.790,13.850,14.430,8553800,14.130
81,2012/04/10,14.280,14.610,13.870,14.590,5340700,14.290
82,2012/04/11,14.020,14.870,14.020,14.590,4701200,14.290
83,2012/04/12,14.700,14.800,14.350,14.750,4937200,14.450
84,2012/04/13,14.720,15.450,14.660,15.380,10805400,15.060
85,2012/04/16,15.130,15.560,15.010,15.390,7227400,15.070
86,2012/04/17,15.390,15.390,14.750,14.770,6157100,14.470
87,2012/04/18,14.870,15.410,14.710,15.280,4573200,14.970
