key,open,highest,lowest,close,volumn,weight
1,2011/12/20,114.000,118.780,112.210,118.400,7258200,118.400
2,2011/12/21,117.390,117.390,111.000,112.970,6653800,112.970
3,2011/12/22,113.140,116.750,112.750,115.560,4517100,115.560
4,2011/12/23,116.640,118.700,116.000,117.810,3771800,117.810
5,2011/12/27,117.080,117.930,115.830,116.250,2601200,116.250
6,2011/12/28,116.030,117.660,115.020,116.500,3746800,116.500
7,2011/12/29,116.020,116.380,113.170,114.720,4212200,114.720
8,2011/12/30,114.080,116.800,113.820,116.470,5057000,116.470
9,2012/01/03,120.000,125.140,120.000,124.290,7311200,124.290
10,2012/01/04,122.750,123.600,121.150,121.990,4398200,121.990
11,2012/01/05,121.100,124.000,120.680,123.270,4772700,123.270
12,2012/01/06,123.720,124.110,120.000,121.090,4978100,121.090
13,2012/01/09,122.970,122.970,117.170,120.110,5594500,120.110
14,2012/01/10,124.210,127.300,124.000,126.880,6929000,126.880
15,2012/01/11,126.470,128.590,125.530,128.190,5328900,128.190
16,2012/01/12,129.000,130.250,127.670,128.300,4908500,128.300
17,2012/01/13,127.020,128.910,126.500,127.410,4045800,127.410
18,2012/01/17,131.300,131.500,128.600,128.850,6150400,128.850
19,2012/01/18,128.830,129.730,125.310,126.070,6589400,126.070
20,2012/01/19,127.460,127.530,123.000,123.620,10790500,123.620
21,2012/01/20,122.950,124.540,121.500,122.800,6038500,122.800
22,2012/01/23,123.340,126.800,123.340,123.930,7128800,123.930
23,2012/01/24,123.200,123.400,121.000,121.750,4875800,121.750
24,2012/01/25,122.510,125.520,121.070,125.030,4876400,125.030
25,2012/01/26,124.290,127.210,122.830,123.900,5636000,123.900
26,2012/01/27,124.200,131.900,124.110,131.360,8589800,131.360
27,2012/01/30,130.930,132.250,128.120,130.730,7871300,130.730
28,2012/01/31,129.010,130.660,125.810,127.520,6414000,127.520
29,2012/02/01,129.810,129.900,126.060,127.730,5824600,127.730
30,2012/02/02,128.000,131.230,127.110,130.790,5949100,130.790
31,2012/02/03,132.520,135.680,132.120,134.530,7012300,134.530
32,2012/02/06,130.810,132.780,129.720,131.370,6010200,131.370
33,2012/02/07,131.020,132.230,128.940,129.490,5828200,129.490
34,2012/02/08,130.760,132.260,129.290,130.890,5331500,130.890
35,2012/02/09,131.650,135.830,131.000,135.450,6766800,135.450
36,2012/02/10,134.280,138.000,133.490,136.590,7129400,136.590
37,2012/02/13,138.800,140.090,137.130,140.000,6231900,140.000
38,2012/02/14,141.720,142.220,139.680,140.860,7138800,140.860
