key,open,highest,lowest,close,volumn,weight
1,2011/12/20,628.000,631.840,627.990,630.370,2388200,630.370
2,2011/12/21,630.010,631.820,618.960,625.820,2497900,625.820
3,2011/12/22,627.950,631.730,627.010,629.700,1822300,629.700
4,2011/12/23,632.000,634.680,630.560,633.140,1453700,633.140
5,2011/12/27,632.050,644.490,632.000,640.250,1606400,640.250
6,2011/12/28,642.750,645.000,638.100,639.700,2127200,639.700
7,2011/12/29,641.490,643.000,635.200,642.400,1575400,642.400
8,2011/12/30,642.020,646.760,642.020,645.900,1782300,645.900
9,2012/01/03,652.940,668.150,652.370,665.410,3676500,665.410
10,2012/01/04,665.030,670.250,660.620,668.280,2864000,668.280
11,2012/01/05,662.130,663.970,656.230,659.010,3282900,659.010
12,2012/01/06,659.150,660.000,649.790,650.020,2692900,650.020
13,2012/01/09,646.500,647.000,621.230,622.460,5822600,622.460
14,2012/01/10,629.750,633.800,616.910,623.140,4395600,623.140
15,2012/01/11,623.500,629.390,621.120,625.960,2400000,625.960
16,2012/01/12,631.220,632.890,626.500,629.640,1875200,629.640
17,2012/01/13,626.260,626.950,621.060,624.990,2307300,624.990
18,2012/01/17,631.980,631.980,625.680,628.580,1909300,628.580
19,2012/01/18,626.630,634.000,622.120,632.910,2761700,632.910
20,2012/01/19,640.990,640.990,631.460,639.570,6305300,639.570
21,2012/01/20,590.530,591.000,581.700,585.990,10576300,585.990
22,2012/01/23,586.000,588.660,583.160,585.520,3412900,585.520
23,2012/01/24,586.320,587.680,578.000,580.930,3055800,580.930
24,2012/01/25,577.510,578.710,566.380,569.490,4987700,569.490
25,2012/01/26,571.980,574.480,564.550,568.100,3226200,568.100
26,2012/01/27,570.780,580.320,569.330,579.980,3617500,579.980
27,2012/01/30,578.050,580.000,573.400,577.690,2330500,577.690
28,2012/01/31,583.000,584.000,575.150,580.110,2142400,580.110
29,2012/02/01,584.940,585.500,579.140,580.830,2320700,580.830
30,2012/02/02,584.870,586.410,582.080,585.110,2414700,585.110
31,2012/02/03,590.660,597.070,588.050,596.330,3168500,596.330
32,2012/02/06,595.010,610.830,594.010,609.090,3679600,609.090
33,2012/02/07,607.150,609.390,603.760,606.770,2092100,606.770
34,2012/02/08,608.640,611.350,604.740,609.850,1836400,609.850
35,2012/02/09,612.020,614.500,609.000,611.460,2264700,611.460
36,2012/02/10,607.880,608.130,604.000,605.910,2325200,605.910
37,2012/02/13,610.500,613.840,610.020,612.200,1816300,612.200
38,2012/02/14,611.540,612.000,604.760,609.760,1803700,609.760
39,2012/02/15,612.930,612.930,602.560,605.560,2425900,605.560
40,2012/02/16,602.820,608.810,597.730,606.520,2530900,606.520
41,2012/02/17,604.970,607.630,602.400,604.640,2449100,604.640
42,2012/02/21,603.870,617.880,602.880,614.000,2480800,614.000
43,2012/02/22,611.960,616.780,606.710,607.940,1967000,607.940
44,2012/02/23,607.000,607.940,600.350,606.110,2055000,606.110
45,2012/02/24,607.350,611.650,605.510,609.900,1935600,609.900
46,2012/02/27,606.590,612.360,605.060,609.310,1813900,609.310
47,2012/02/28,610.000,619.770,607.680,618.390,2847600,618.390
48,2012/02/29,618.600,625.600,615.500,618.250,3136900,618.250
49,2012/03/01,622.260,625.700,618.150,622.400,2237700,622.400
50,2012/03/02,622.000,624.000,620.320,621.250,1573300,621.250
