key,open,highest,lowest,close,volumn,weight
1,2011/12/20,3.980,4.430,3.980,4.330,105700,4.330
2,2011/12/21,4.260,4.570,4.230,4.400,39300,4.400
3,2011/12/22,4.440,4.580,4.410,4.540,16700,4.540
4,2011/12/23,4.570,4.750,4.570,4.740,17400,4.740
5,2011/12/27,4.640,4.750,4.420,4.620,46700,4.620
6,2011/12/28,4.500,4.640,4.490,4.640,22600,4.640
7,2011/12/29,4.610,4.750,4.610,4.740,36400,4.740
8,2011/12/30,4.710,4.890,4.570,4.620,30700,4.620
9,2012/01/03,4.720,4.730,4.500,4.650,14000,4.650
10,2012/01/04,4.620,4.800,4.620,4.750,39200,4.750
11,2012/01/05,4.770,4.980,4.770,4.920,53200,4.920
12,2012/01/06,4.890,4.910,4.750,4.750,23700,4.750
13,2012/01/09,4.760,4.890,4.700,4.820,41900,4.820
14,2012/01/10,4.900,5.060,4.900,4.910,22800,4.910
15,2012/01/11,4.870,5.420,4.830,5.250,31000,5.250
16,2012/01/12,5.290,5.570,5.220,5.440,47300,5.440
17,2012/01/13,5.460,5.500,5.180,5.250,29200,5.250
18,2012/01/17,5.350,5.750,5.300,5.500,92600,5.500
19,2012/01/18,5.610,6.180,5.590,5.990,54400,5.990
20,2012/01/19,6.040,6.190,5.720,5.990,59300,5.990
21,2012/01/20,5.970,6.220,5.820,6.150,68100,6.150
22,2012/01/23,6.210,6.210,5.560,6.010,62800,6.010
23,2012/01/24,6.000,6.010,5.660,6.010,21200,6.010
24,2012/01/25,6.010,6.080,5.800,5.990,21700,5.990
25,2012/01/26,6.000,6.120,5.920,5.920,11700,5.920
26,2012/01/27,5.940,6.500,5.930,6.300,123500,6.300
27,2012/01/30,6.430,6.500,5.840,5.940,81700,5.940
28,2012/01/31,5.990,5.990,5.550,5.900,42600,5.900
29,2012/02/01,5.820,5.940,5.620,5.800,21600,5.800
30,2012/02/02,5.760,5.850,5.750,5.800,12200,5.800
31,2012/02/03,5.880,6.080,5.850,5.890,42400,5.890
32,2012/02/06,5.850,6.040,5.710,5.790,23500,5.790
33,2012/02/07,5.730,5.800,5.670,5.690,16000,5.690
34,2012/02/08,5.630,5.790,5.480,5.650,33400,5.650
35,2012/02/09,5.710,5.710,5.500,5.500,27200,5.500
36,2012/02/10,5.450,5.450,5.250,5.390,16000,5.390
37,2012/02/13,5.260,5.290,5.010,5.170,35100,5.170
38,2012/02/14,5.180,5.190,5.140,5.190,11300,5.190
39,2012/02/15,5.230,5.230,5.110,5.120,29900,5.120
40,2012/02/16,5.080,5.130,5.010,5.010,38400,5.010
41,2012/02/17,5.030,5.120,5.000,5.120,92500,5.120
42,2012/02/21,5.140,5.140,5.000,5.010,111800,5.010
43,2012/02/22,5.020,5.140,5.010,5.050,109300,5.050
44,2012/02/23,5.100,5.120,5.020,5.060,31100,5.060
45,2012/02/24,5.070,5.090,5.040,5.050,24700,5.050
46,2012/02/27,5.080,5.350,5.030,5.220,28100,5.220
47,2012/02/28,5.260,5.800,5.230,5.560,80600,5.560
48,2012/02/29,5.600,5.940,5.150,5.890,107200,5.890
49,2012/03/01,5.920,5.990,5.520,5.720,40000,5.720
50,2012/03/02,5.700,5.700,5.590,5.600,15000,5.600
51,2012/03/05,5.560,5.690,5.280,5.430,31900,5.430
52,2012/03/06,5.400,5.600,5.260,5.480,11400,5.480
53,2012/03/07,5.450,5.500,5.410,5.490,6600,5.490
54,2012/03/08,5.460,5.500,5.250,5.500,14000,5.500
55,2012/03/09,5.480,5.830,5.450,5.810,48100,5.810
56,2012/03/12,5.860,6.280,5.860,5.990,82500,5.990
57,2012/03/13,6.080,6.080,5.810,5.930,22500,5.930
58,2012/03/14,5.950,5.950,5.810,5.870,8900,5.870
59,2012/03/15,5.870,5.890,5.750,5.890,22900,5.890
60,2012/03/16,5.890,6.100,5.810,5.950,50200,5.950
61,2012/03/19,5.940,6.320,5.940,6.270,81800,6.270
62,2012/03/20,6.150,6.250,5.810,5.940,51200,5.940
63,2012/03/21,5.840,5.840,5.170,5.600,171300,5.600
64,2012/03/22,5.530,5.550,5.450,5.530,40400,5.530
65,2012/03/23,5.500,5.520,5.370,5.420,54200,5.420
66,2012/03/26,5.400,5.590,5.340,5.340,26400,5.340
67,2012/03/27,5.300,5.600,5.290,5.530,56400,5.530
68,2012/03/28,5.570,5.580,5.400,5.570,16000,5.570
69,2012/03/29,5.540,5.700,5.500,5.580,8200,5.580
70,2012/03/30,5.740,5.750,5.500,5.690,88400,5.690
71,2012/04/02,5.720,5.720,5.680,5.690,3100,5.690
72,2012/04/03,5.670,5.740,5.250,5.530,27600,5.530
73,2012/04/04,5.540,5.650,5.480,5.540,17900,5.540
74,2012/04/05,5.560,5.750,5.560,5.740,80000,5.740
75,2012/04/09,5.620,5.740,5.580,5.600,3100,5.600
76,2012/04/10,5.590,5.590,5.460,5.470,10700,5.470
77,2012/04/11,5.570,5.590,5.530,5.590,9200,5.590
78,2012/04/12,5.550,5.720,5.480,5.540,13800,5.540
79,2012/04/13,5.510,5.670,5.480,5.500,35900,5.500
80,2012/04/16,5.600,5.720,5.560,5.560,13500,5.560
