key,open,highest,lowest,close,volumn,weight
1,2011/12/20,17.300,18.170,17.260,17.680,1565900,17.680
2,2011/12/21,17.790,17.970,16.950,17.140,941800,17.140
3,2011/12/22,17.110,17.250,16.590,16.590,1773600,16.590
4,2011/12/23,16.680,16.940,16.250,16.630,1188600,16.630
5,2011/12/27,16.510,16.650,16.080,16.320,648400,16.320
6,2011/12/28,16.240,16.310,15.700,15.980,1884500,15.980
7,2011/12/29,15.760,16.080,15.600,15.920,865500,15.920
8,2011/12/30,15.720,16.060,15.630,15.670,923400,15.670
9,2012/01/03,16.270,16.920,15.900,16.690,2416100,16.690
10,2012/01/04,16.490,16.490,15.620,15.810,2186500,15.810
11,2012/01/05,15.690,16.700,15.550,16.490,2343400,16.490
12,2012/01/06,16.510,16.660,15.560,15.670,1450500,15.670
13,2012/01/09,15.770,16.000,15.390,15.570,1099300,15.570
14,2012/01/10,16.190,17.400,16.090,16.900,3510300,16.900
15,2012/01/11,18.050,19.120,17.330,18.820,6087100,18.820
16,2012/01/12,18.870,19.600,18.000,19.360,2961200,19.360
17,2012/01/13,19.010,19.510,18.460,18.620,1972300,18.620
18,2012/01/17,19.210,19.550,18.650,18.980,2019300,18.980
19,2012/01/18,18.970,20.000,18.700,19.680,2189000,19.680
20,2012/01/19,19.700,21.750,19.460,20.620,6079400,20.620
21,2012/01/20,20.550,21.420,20.100,20.970,2917600,20.970
22,2012/01/23,20.900,22.080,20.750,21.760,2707400,21.760
23,2012/01/24,21.290,21.640,20.240,20.820,2073700,20.820
24,2012/01/25,20.530,20.940,20.130,20.590,1576600,20.590
25,2012/01/26,20.950,21.390,20.510,20.590,1435400,20.590
26,2012/01/27,20.520,23.250,20.420,23.110,3775900,23.110
27,2012/01/30,22.710,24.060,22.190,23.550,4686000,23.550
28,2012/01/31,23.770,23.980,21.280,21.390,3426000,21.390
29,2012/02/01,22.000,22.950,21.500,22.910,2794600,22.910
30,2012/02/02,22.900,24.800,22.900,24.720,3937000,24.720
31,2012/02/03,25.100,25.300,23.950,24.180,3326700,24.180
32,2012/02/06,22.490,24.750,22.390,24.730,2743000,24.730
33,2012/02/07,24.740,24.900,22.840,23.220,2766200,23.220
34,2012/02/08,23.770,23.790,22.540,22.840,1823600,22.840
35,2012/02/09,22.980,23.730,22.900,23.000,1924200,23.000
36,2012/02/10,22.600,22.680,21.140,21.310,2704200,21.310
37,2012/02/13,22.170,22.400,21.520,22.130,1947500,22.130
38,2012/02/14,22.100,22.400,21.240,21.520,1348900,21.520
39,2012/02/15,22.050,22.050,21.090,21.160,1461300,21.160
40,2012/02/16,21.020,21.100,19.900,20.880,3663700,20.880
41,2012/02/17,21.070,21.630,20.520,21.470,2781900,21.470
42,2012/02/21,21.670,22.370,20.930,21.130,2472400,21.130
43,2012/02/22,21.320,21.850,20.810,21.270,2470500,21.270
44,2012/02/23,21.110,22.730,20.900,22.440,2923500,22.440
45,2012/02/24,22.470,22.990,22.080,22.370,1452700,22.370
46,2012/02/27,22.170,23.190,22.000,23.030,1669400,23.030
47,2012/02/28,23.030,25.480,23.030,25.390,4694500,25.390
48,2012/02/29,25.570,26.000,24.800,25.140,1970100,25.140
49,2012/03/01,25.130,25.270,24.000,24.700,2370200,24.700
50,2012/03/02,24.690,26.950,24.520,26.020,2919400,26.020
51,2012/03/05,25.810,26.800,25.330,25.670,1949400,25.670
52,2012/03/06,25.010,25.040,23.440,23.960,2094700,23.960
53,2012/03/07,24.220,25.600,24.220,25.010,1419700,25.010
54,2012/03/08,25.710,25.740,24.020,24.750,1943800,24.750
55,2012/03/09,25.010,25.900,24.750,25.010,2372300,25.010
56,2012/03/12,29.800,32.750,27.730,31.850,26952800,31.850
57,2012/03/13,30.540,32.080,29.190,31.380,9079200,31.380
58,2012/03/14,30.910,31.190,28.240,28.790,6104000,28.790
59,2012/03/15,28.660,28.980,27.790,28.300,3482000,28.300
60,2012/03/16,28.070,28.300,27.010,27.060,3146400,27.060
61,2012/03/19,27.280,28.400,26.030,26.090,3769600,26.090
62,2012/03/20,26.010,26.410,24.830,25.070,3990500,25.070
63,2012/03/21,25.170,26.450,24.880,25.700,4075500,25.700
64,2012/03/22,25.420,25.680,24.920,25.000,2991200,25.000
65,2012/03/23,25.240,25.240,24.610,24.700,1729600,24.700
66,2012/03/26,25.060,25.170,24.150,24.230,2311800,24.230
67,2012/03/27,24.270,25.500,24.210,24.210,3577200,24.210
68,2012/03/28,24.440,24.460,22.690,23.010,3942600,23.010
69,2012/03/29,22.610,22.800,21.870,22.200,3203800,22.200
70,2012/03/30,22.090,22.760,21.600,21.990,2452600,21.990
71,2012/04/02,21.780,23.500,21.720,22.910,3450200,22.910
72,2012/04/03,23.100,23.450,22.450,22.720,2511100,22.720
73,2012/04/04,22.330,22.500,21.580,22.050,2249900,22.050
74,2012/04/05,22.360,23.030,22.060,22.200,1414600,22.200
75,2012/04/09,21.590,22.720,21.520,22.260,1714300,22.260
76,2012/04/10,22.070,23.150,21.450,21.480,2431500,21.480
77,2012/04/11,21.850,22.690,21.850,22.560,2286700,22.560
